group,name,path,shape,N_images,total,bad,bad_pct,mean,std,min,max,p01,p99
REAL_RAW_0_255,adhd,synthetic_npy\adhd_40.npy,"(40, 128, 128)",40,655360,0,0.0,68.69426203621579,54.806719950578476,0.0,255.0,11.394818000793457,228.83698135375982
REAL_TRAIN_SCALE_-1_1,adhd,synthetic_npy\adhd_40.npy,"(40, 128, 128)",40,655360,0,0.0,0.06929523366786286,0.1930892489288962,-0.17272111773490906,0.7256678938865662,-0.13257610708475112,0.6334931439161302
REAL_RAW_0_255,bd,synthetic_npy\bd_49_clean.npy,"(49, 128, 128)",49,802816,0,0.0,0.0,1e-08,0.0,0.0,0.0,0.0
REAL_TRAIN_SCALE_-1_1,bd,synthetic_npy\bd_49_clean.npy,"(49, 128, 128)",49,802816,0,0.0,-0.17272111773490906,1e-08,-0.17272111773490906,-0.17272111773490906,-0.17272111773490906,-0.17272111773490906
REAL_RAW_0_255,health,synthetic_npy\health_121.npy,"(121, 128, 128)",121,1982464,0,0.0,59.1283458864208,58.78895800657328,0.0,255.0,6.185542817115784,235.11448883056636
REAL_TRAIN_SCALE_-1_1,health,synthetic_npy\health_121.npy,"(121, 128, 128)",121,1982464,0,0.0,0.035593609674724226,0.20711904888444055,-0.17272111773490906,0.7256678938865662,-0.1509288714826107,0.6556093931198119
REAL_RAW_0_255,schz,synthetic_npy\schz_27.npy,"(27, 128, 128)",27,442368,0,0.0,63.58225898874889,52.3886958138597,0.0,255.0,11.226109714508057,225.83464340209963
REAL_TRAIN_SCALE_-1_1,schz,synthetic_npy\schz_27.npy,"(27, 128, 128)",27,442368,0,0.0,0.05128516522992478,0.18457032209472893,-0.17272111773490906,0.7256678938865662,-0.13317047864198683,0.6229156178236008
GENERATED_GROUP_-1_1,adhd,synthetic_generated_patch260107\adhd,"(10, 128, 128)",10,163840,0,0.0,0.06929524830929949,0.1930892761602197,-0.11977185308933258,0.6736679077148438,-0.11977185308933258,0.5420200824737549
GENERATED_GROUP_-1_1,bd,synthetic_generated_patch260107\bd,"(10, 128, 128)",10,163840,0,0.0,0.0,1e-08,0.0,0.0,0.0,0.0
GENERATED_GROUP_-1_1,health,synthetic_generated_patch260107\health,"(10, 128, 128)",10,163840,0,0.0,0.0355936034969659,0.2071190720260825,-0.18033885955810547,0.9324643015861511,-0.18033885955810547,0.53912752866745
GENERATED_GROUP_-1_1,schz,synthetic_generated_patch260107\schz,"(10, 128, 128)",10,163840,0,0.0,0.05128516830619674,0.1845703422711825,-0.15469007194042206,0.5533061623573303,-0.15469007194042206,0.4662141501903534
